"('Open', 'AAPL')","('Open', 'ABT')","('Open', 'MU')","('Open', 'SO')",PortfolioValue
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,972886.3376617852
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,949862.5203179439
0.33333322,0.33333322,0.33333322,3.333329e-07,941924.2260468496
0.33333322,0.33333322,0.33333322,3.333329e-07,938717.4551286614
0.33333322,0.33333322,0.33333322,3.333329e-07,935712.0480275126
0.33333322,0.33333322,0.33333322,3.333329e-07,930316.0587829616
0.33333322,0.33333322,0.33333322,3.333329e-07,909795.143203367
0.33333322,0.33333322,0.33333322,3.333329e-07,882025.0982879169
0.33333322,0.33333322,0.33333322,3.333329e-07,871491.3566659588
0.33333322,0.33333322,0.33333322,3.333329e-07,863288.6209811353
0.33333322,0.33333322,0.33333322,3.333329e-07,869837.8396278152
0.33333322,0.33333322,0.33333322,3.333329e-07,870020.5340454275
0.33333322,0.33333322,0.33333322,3.333329e-07,903973.6181015269
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,894293.1175017715
0.33333322,0.33333322,0.33333322,3.333329e-07,889999.897796648
0.33333322,0.33333322,0.33333322,3.333329e-07,893141.6658007222
0.33333322,0.33333322,0.33333322,3.333329e-07,886245.1177825119
0.33333322,0.33333322,0.33333322,3.333329e-07,883922.8682153102
0.33333322,0.33333322,0.33333322,3.333329e-07,883700.9224209051
0.33333322,0.33333322,0.33333322,3.333329e-07,869207.8221447627
0.33333322,0.33333322,0.33333322,3.333329e-07,859055.5217851211
0.33333322,0.33333322,0.33333322,3.333329e-07,896776.4955367327
4.9999903e-07,0.49999952,0.49999952,4.9999903e-07,898406.4661250449
0.33333322,0.33333322,0.33333322,3.333329e-07,901421.528205556
0.33333322,0.33333322,0.33333322,3.333329e-07,904196.219972353
0.33333322,0.33333322,0.33333322,3.333329e-07,912961.2732928909
0.33333322,0.33333322,0.33333322,3.333329e-07,907602.4650841928
0.33333322,0.33333322,0.33333322,3.333329e-07,902108.6708652918
0.33333322,0.33333322,0.33333322,3.333329e-07,865662.3641637027
0.33333322,0.33333322,0.33333322,3.333329e-07,870538.1349143906
0.33333322,0.33333322,0.33333322,3.333329e-07,879801.3549474359
0.33333322,0.33333322,0.33333322,3.333329e-07,881108.1315026669
0.33333322,0.33333322,0.33333322,3.333329e-07,881519.0367603247
0.33333322,0.33333322,0.33333322,3.333329e-07,877648.4583421649
0.33333322,0.33333322,0.33333322,3.333329e-07,887675.3102561559
0.33333322,0.33333322,0.33333322,3.333329e-07,874089.8362639201
0.33333322,0.33333322,0.33333322,3.333329e-07,858485.0189226498
0.33333322,0.33333322,0.33333322,3.333329e-07,840002.9697640482
0.33333322,0.33333322,0.33333322,3.333329e-07,860067.6947865786
0.33333322,0.33333322,0.33333322,3.333329e-07,853066.9815441873
0.33333322,0.33333322,0.33333322,3.333329e-07,860848.265354429
0.33333322,0.33333322,0.33333322,3.333329e-07,864203.0878943925
0.33333322,0.33333322,0.33333322,3.333329e-07,864047.2291076157
0.33333322,0.33333322,0.33333322,3.333329e-07,845468.4431095959
0.33333322,0.33333322,0.33333322,3.333329e-07,852293.8900272907
0.33333322,0.33333322,0.33333322,3.333329e-07,841304.3213195819
0.33333322,0.33333322,0.33333322,3.333329e-07,828706.5685101885
0.33333322,0.33333322,0.33333322,3.333329e-07,847693.3445330472
0.33333322,0.33333322,0.33333322,3.333329e-07,830421.0988759518
0.33333322,0.33333322,0.33333322,3.333329e-07,830329.4959829877
0.33333322,0.33333322,0.33333322,3.333329e-07,810079.5127805459
0.33333322,0.33333322,0.33333322,3.333329e-07,827162.4588073984
0.33333322,0.33333322,0.33333322,3.333329e-07,837841.7943237562
